type,country_code,series_code,description,country_name,series_name
Country-Series,AFG,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Afghanistan,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,AFG,SP.POP.TOTL,Data source: United Nations World Population Prospects,Afghanistan,"Population, total"
Country-Series,AFG,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are World Bank staff estimates. Short-term debt before 2015 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreements signed in 2010 and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.",Afghanistan,"External debt stocks, total (DOD, current US$)"
Country-Series,AGO,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Short-term debt and long-term private nonguaranteed debt data for 2024 are sourced from the National Bank of Angola. DSSI eligible and participating in 2020, 2021 and 2022.",Angola,"External debt stocks, total (DOD, current US$)"
Country-Series,AGO,SP.POP.TOTL,Data source: United Nations World Population Prospects,Angola,"Population, total"
Country-Series,AGO,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Angola,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,ALB,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Albania,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,ALB,SP.POP.TOTL,"Data source: Institute of Statistics, Eurostat",Albania,"Population, total"
Country-Series,ALB,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).,Albania,"External debt stocks, total (DOD, current US$)"
Country-Series,ARG,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data before 2008 are World Bank staff estimates. Short-term debt data for 2023 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of Paris Club debt restructuring agreement.,Argentina,"External debt stocks, total (DOD, current US$)"
Country-Series,ARG,SP.POP.TOTL,"Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects",Argentina,"Population, total"
Country-Series,ARG,DT.DOD.DPNG.CD,Provincial debt for long-term private nonguaranteed debt data are World Bank staff estimates.,Argentina,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)"
Country-Series,ARG,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Argentina,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,ARM,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Armenia,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,ARM,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced from the Central Bank of Armenia.,Armenia,"External debt stocks, total (DOD, current US$)"
Country-Series,ARM,SP.POP.TOTL,Data source: United Nations World Population Prospects,Armenia,"Population, total"
Country-Series,AZE,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Azerbaijan,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,AZE,SP.POP.TOTL,"Data source: Eurostat, State Statistical Committee.",Azerbaijan,"Population, total"
Country-Series,AZE,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are World Bank staff estimates based on the market data and country report. Short-term debt for 2024 is based on data from the BIS.,Azerbaijan,"External debt stocks, total (DOD, current US$)"
Country-Series,BDI,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Data include the effects of Paris Club debt restructuring agreement and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.,Burundi,"External debt stocks, total (DOD, current US$)"
Country-Series,BDI,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Burundi,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BDI,SP.POP.TOTL,Data source: United Nations World Population Prospects,Burundi,"Population, total"
Country-Series,BEN,SP.POP.TOTL,Data source: United Nations World Population Prospects,Benin,"Population, total"
Country-Series,BEN,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Benin,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BEN,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are based on Central Bank IIP data. Short-term debt for 2024 is World Bank staff estimates using BIS data. Data include the effects of Paris Club debt restructuring agreement and HIPC and MDRI debt relief. DSSI eligible and not participating in 2020 and 2021.,Benin,"External debt stocks, total (DOD, current US$)"
Country-Series,BFA,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.,Burkina Faso,"External debt stocks, total (DOD, current US$)"
Country-Series,BFA,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Burkina Faso,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BFA,SP.POP.TOTL,Data source: United Nations World Population Prospects,Burkina Faso,"Population, total"
Country-Series,BGD,SP.POP.TOTL,Data source: United Nations World Population Prospects,Bangladesh,"Population, total"
Country-Series,BGD,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Bangladesh,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BGD,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data and long-term private nonguaranteed debt for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). DSSI eligible and not participating in 2020 and 2021.,Bangladesh,"External debt stocks, total (DOD, current US$)"
Country-Series,BIH,DT.DOD.DPPG.CD,Prior to 1999 data on long-term public and publicly guaranteed debt include only IBRD and IMF loans.,Bosnia and Herzegovina,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)"
Country-Series,BIH,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Bosnia and Herzegovina,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BIH,SP.POP.TOTL,Data source: United Nations World Population Prospects,Bosnia and Herzegovina,"Population, total"
Country-Series,BIH,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 20182024 are World Bank staff estimates based on reports provided by the country; for 20052017, they are World Bank staff estimates. With the release of 2021 data, PNG data for the period 2018-2020 are revised based on reports provided by the country. Short-term debt figures are based on BIS data prior to 2018 and on the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds) thereafter.",Bosnia and Herzegovina,"External debt stocks, total (DOD, current US$)"
Country-Series,BLR,SP.POP.TOTL,"Data source: National Statistical Committee of the Republic of Belarus, Eurostat",Belarus,"Population, total"
Country-Series,BLR,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Belarus,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BLR,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are World Bank staff estimates based on the original terms of the loans. Long-term private nonguaranteed and short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).,Belarus,"External debt stocks, total (DOD, current US$)"
Country-Series,BLZ,DT.DOD.DECT.CD,Long-term public and publicly guaranteed for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are based on data from the Central Bank. Short-term debt data are not available.,Belize,"External debt stocks, total (DOD, current US$)"
Country-Series,BLZ,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Belize,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BLZ,SP.POP.TOTL,Data source: United Nations World Population Prospects,Belize,"Population, total"
Country-Series,BOL,SP.POP.TOTL,Data source: United Nations World Population Prospects,Bolivia,"Population, total"
Country-Series,BOL,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Bolivia,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BOL,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt and short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of HIPC and MDRI debt relief.,Bolivia,"External debt stocks, total (DOD, current US$)"
Country-Series,BRA,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are based on reports provided by the country.",Brazil,"External debt stocks, total (DOD, current US$)"
Country-Series,BRA,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Brazil,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BRA,SP.POP.TOTL,Data source: United Nations World Population Prospects,Brazil,"Population, total"
Country-Series,BTN,SP.POP.TOTL,Data source: United Nations World Population Prospects,Bhutan,"Population, total"
Country-Series,BTN,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Bhutan,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BTN,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates. Short-term debt data for 2024 are based on data from the BIS. DSSI eligible and not participating in 2020 or 2021.,Bhutan,"External debt stocks, total (DOD, current US$)"
Country-Series,BWA,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on the market data. Short-term debt for 2024 is based on data from the BIS.,Botswana,"External debt stocks, total (DOD, current US$)"
Country-Series,BWA,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Botswana,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,BWA,SP.POP.TOTL,Data source: United Nations World Population Prospects,Botswana,"Population, total"
Country-Series,CAF,SP.POP.TOTL,Data source: United Nations World Population Prospects,Central African Republic,"Population, total"
Country-Series,CAF,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Central African Republic,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,CAF,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS. Data include the effects of HIPC and MDRI debt relief. DSSI eligible and did not participate in 2020, but participating in 2021.",Central African Republic,"External debt stocks, total (DOD, current US$)"
Country-Series,CHN,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,China,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,CHN,SP.POP.TOTL,Data source: National Bureau of Statistics,China,"Population, total"
Country-Series,CHN,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on country aggregate reports. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).,China,"External debt stocks, total (DOD, current US$)"
Country-Series,CIV,SP.POP.TOTL,Data source: United Nations World Population Prospects,Côte d'Ivoire,"Population, total"
Country-Series,CIV,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Côte d'Ivoire,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,CIV,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates. Short-term debt for 2024 is based on data from the BIS. Data include the effects of Paris Club agreement signed in 2009, 2011, 2012 and 2020 and HIPC and MDRI debt relief. DSSI eligible and participating in 2020, 2021 and 2022.",Côte d'Ivoire,"External debt stocks, total (DOD, current US$)"
Country-Series,CMR,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Cameroon,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,CMR,SP.POP.TOTL,Data source: United Nations World Population Prospects,Cameroon,"Population, total"
Country-Series,CMR,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt for 2024 is based on data from the BIS. Data include the effects of HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.,Cameroon,"External debt stocks, total (DOD, current US$)"
Country-Series,COD,SP.POP.TOTL,Data source: United Nations World Population Prospects,"Congo, Dem. Rep.","Population, total"
Country-Series,COD,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,"Congo, Dem. Rep.","Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,COD,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt data for 2024 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreement and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.,"Congo, Dem. Rep.","External debt stocks, total (DOD, current US$)"
Country-Series,COG,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data only cover European Investment Bank lending. Short-term debt for 2024 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreement and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.,"Congo, Rep.","External debt stocks, total (DOD, current US$)"
Country-Series,COG,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,"Congo, Rep.","Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,COG,SP.POP.TOTL,Data source: United Nations World Population Prospects,"Congo, Rep.","Population, total"
Country-Series,COL,SP.POP.TOTL,Data source: United Nations World Population Prospects,Colombia,"Population, total"
Country-Series,COL,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).,Colombia,"External debt stocks, total (DOD, current US$)"
Country-Series,COL,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Colombia,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,COM,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Comoros,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,COM,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed and short-term debt data are not available. Data include the effects of Paris Club debt restructuring agreements signed in 2010 and in 2013 and the HIPC debt relief. DSSI eligible and participating in 2020 and 2021.,Comoros,"External debt stocks, total (DOD, current US$)"
Country-Series,COM,SP.POP.TOTL,Data source: United Nations World Population Prospects,Comoros,"Population, total"
Country-Series,CPV,SP.POP.TOTL,Data source: United Nations World Population Prospects,Cabo Verde,"Population, total"
Country-Series,CPV,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Cabo Verde,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,CPV,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt date are not avaliable. Short-term debt data for 2024 are based on data from the Central Bank. DSSI eligible and participating in 2020 and 2021.,Cabo Verde,"External debt stocks, total (DOD, current US$)"
Country-Series,DJI,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt and short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of Paris Club debt restructuring agreement signed in 2008. DSSI eligible and participating in 2021 and 2022.,Djibouti,"External debt stocks, total (DOD, current US$)"
Country-Series,DJI,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Djibouti,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,DJI,SP.POP.TOTL,Data source: United Nations World Population Prospects,Djibouti,"Population, total"
Country-Series,DMA,SP.POP.TOTL,Data source: United Nations World Population Prospects,Dominica,"Population, total"
Country-Series,DMA,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Dominica,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,DMA,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are based on Central Bank, IIP data. Short-term debt data prior to 2013 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds) and thereafter are based on data from the Central Bank, IIP. DSSI eligible and participating in 2020 and 2021.",Dominica,"External debt stocks, total (DOD, current US$)"
Country-Series,DOM,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Dominican Republic,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,DOM,SP.POP.TOTL,Data source: United Nations World Population Prospects,Dominican Republic,"Population, total"
Country-Series,DOM,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are based on data from the BIS. Data include the effects of Paris Club debt restructuring agreement signed in 2005.,Dominican Republic,"External debt stocks, total (DOD, current US$)"
Country-Series,DZA,SP.POP.TOTL,Data source: United Nations World Population Prospects,Algeria,"Population, total"
Country-Series,DZA,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Algeria,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,DZA,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are based on reports provided by the country.",Algeria,"External debt stocks, total (DOD, current US$)"
Country-Series,EAP,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,East Asia & Pacific (excluding high income),"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,ECA,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Europe & Central Asia (excluding high income),"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,ECU,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Ecuador,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,ECU,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are World Bank staff estimates based on reports provided by the country and data published by the national authorities. Short-term debt for 2024 is estimated based on Central Bank data.,Ecuador,"External debt stocks, total (DOD, current US$)"
Country-Series,ECU,SP.POP.TOTL,Data source: United Nations World Population Prospects,Ecuador,"Population, total"
Country-Series,EGY,SP.POP.TOTL,Data source: United Nations World Population Prospects,"Egypt, Arab Rep.","Population, total"
Country-Series,EGY,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).,"Egypt, Arab Rep.","External debt stocks, total (DOD, current US$)"
Country-Series,EGY,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,"Egypt, Arab Rep.","Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,ERI,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Eritrea,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,ERI,SP.POP.TOTL,Data source: United Nations World Population Prospects,Eritrea,"Population, total"
Country-Series,ERI,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data from 2010 up to 2024 are World Bank staff estimates. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS.,Eritrea,"External debt stocks, total (DOD, current US$)"
Country-Series,ETH,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS. Data include the effects of HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.,Ethiopia,"External debt stocks, total (DOD, current US$)"
Country-Series,ETH,SP.POP.TOTL,Data source: United Nations World Population Prospects,Ethiopia,"Population, total"
Country-Series,ETH,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Ethiopia,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,FJI,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Fiji,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,FJI,SP.POP.TOTL,Data source: United Nations World Population Prospects,Fiji,"Population, total"
Country-Series,FJI,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt and short-term debt data for 2024 are based on data from the Reserve Bank of Fiji. DSSI eligible and participating in 2020 and 2021.,Fiji,"External debt stocks, total (DOD, current US$)"
Country-Series,GAB,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS. Data include the effects of Paris Club debt buyback agreement signed in 2007.,Gabon,"External debt stocks, total (DOD, current US$)"
Country-Series,GAB,SP.POP.TOTL,Data source: United Nations World Population Prospects,Gabon,"Population, total"
Country-Series,GAB,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Gabon,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,GEO,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Georgia,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,GEO,SP.POP.TOTL,"Data source and note: GeoStats. Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas.",Georgia,"Population, total"
Country-Series,GEO,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are based on data from the National Bank of Georgia.,Georgia,"External debt stocks, total (DOD, current US$)"
Country-Series,GHA,SP.POP.TOTL,Data source: United Nations World Population Prospects,Ghana,"Population, total"
Country-Series,GHA,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Ghana,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,GHA,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data for 2024 are World Bank staff estimates. Short-term debt for 2024 is based on data from the BIS. Data include the effects of MDRI debt relief and eurobonds restructuring in 2024. DSSI eligible, but not participating in 2020 and 2021.",Ghana,"External debt stocks, total (DOD, current US$)"
Country-Series,GIN,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are World Bank staff estimates based on the market data. Short-term debt for 2024 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreement signed in 2010 and 2012 and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.,Guinea,"External debt stocks, total (DOD, current US$)"
Country-Series,GIN,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Guinea,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,GIN,SP.POP.TOTL,Data source: United Nations World Population Prospects,Guinea,"Population, total"
Country-Series,GMB,SP.POP.TOTL,Data source: United Nations World Population Prospects,"Gambia, The","Population, total"
Country-Series,GMB,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,"Gambia, The","Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,GMB,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS. Data include the effects of HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.,"Gambia, The","External debt stocks, total (DOD, current US$)"
