type,country_code,series_code,description,country_name,series_name
Country-Series,SLB,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 is sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). DSSI eligible and not participating in 2020 and 2021,Solomon Islands,"External debt stocks, total (DOD, current US$)"
Country-Series,SLE,SP.POP.TOTL,Data source: United Nations World Population Prospects,Sierra Leone,"Population, total"
Country-Series,SLE,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Sierra Leone,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,SLE,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt data for 2024 are sourced from the country reports. Data include the effects of Paris Club debt restructuring agreement and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.,Sierra Leone,"External debt stocks, total (DOD, current US$)"
Country-Series,SLV,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are World Bank staff estimates based on country reports and market data. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).,El Salvador,"External debt stocks, total (DOD, current US$)"
Country-Series,SLV,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,El Salvador,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,SLV,SP.POP.TOTL,Data source: United Nations World Population Prospects,El Salvador,"Population, total"
Country-Series,SOM,SP.POP.TOTL,Data source: United Nations World Population Prospects,"Somalia, Fed. Rep.","Population, total"
Country-Series,SOM,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,"Somalia, Fed. Rep.","Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,SOM,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data and short-term debt data are not available. Beginning in 2018, the data reflect the outstanding debt stock, principal and interest arrears, and include late interest/penalties amounts following the reconcilation excercise by Goverment of Somalia with respective creditors. Data include the effects of Paris Club debt restructuring agreement, HIPC and MDRI debt relief. DSSI eligible and not participating in 2020 and 2021.","Somalia, Fed. Rep.","External debt stocks, total (DOD, current US$)"
Country-Series,SRB,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are based on reports provided by the country.",Serbia,"External debt stocks, total (DOD, current US$)"
Country-Series,SRB,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Serbia,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,SRB,SP.POP.TOTL,"Data source: Statistical Office of the Republic of Serbia, Eurostat, TransMONEE, Council of Europe. Note: Excluding Kosovo.",Serbia,"Population, total"
Country-Series,SSA,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Sub-Saharan Africa (excluding high income),"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,STP,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,São Tomé and Principe,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,STP,SP.POP.TOTL,Data source: United Nations World Population Prospects,São Tomé and Principe,"Population, total"
Country-Series,STP,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt data for 2024 is based on data from the BIS. Data include HIPC and MDRI debt relief. DSSI eligible and participating in 2020, 2021 and 2022.",São Tomé and Principe,"External debt stocks, total (DOD, current US$)"
Country-Series,SUR,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are based on reports provided by the country.",Suriname,"External debt stocks, total (DOD, current US$)"
Country-Series,SUR,SP.POP.TOTL,Data source: United Nations World Population Prospects,Suriname,"Population, total"
Country-Series,SWZ,SP.POP.TOTL,Data source: United Nations World Population Prospects,Eswatini,"Population, total"
Country-Series,SWZ,BX.KLT.DINV.CD.DT,Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.,Eswatini,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)"
Country-Series,SWZ,DT.DOD.DECT.CD,"Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are World Bank staff estimates based on IIP, IMF. Short-term debt for 2024 is based on data from the BIS.",Eswatini,"External debt stocks, total (DOD, current US$)"
Country-Series,SYR,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2024 are World Bank staff estimates based on the projected amortization of debt with known terms as of end 2010. These estimates do not account for any new external debt that may have been contracted by Syria since the last reporting period. Long-term private nonguaranteed debt data are not available. Short-term debt for 2024 is based on data from the BIS.,Syrian Arab Republic,"External debt stocks, total (DOD, current US$)"
